Date/Time,T4 A QUARTO 1:Zone Mean Air Temperature [C](Hourly)
 10/26  10:00:00,21.14797768
 10/26  11:00:00,21.58515507
 10/26  12:00:00,21.95898072
 10/26  13:00:00,22.30579685
 10/26  14:00:00,22.59930989
 10/26  15:00:00,22.81447185
 10/26  16:00:00,22.65498102
 10/26  17:00:00,22.47417075
 10/26  18:00:00,22.3490047
 10/26  19:00:00,22.23276131
 10/26  20:00:00,22.11332809
 10/26  21:00:00,21.96907711
 10/26  22:00:00,22.64295706
 10/26  23:00:00,22.61941669
 10/26  24:00:00,22.49493011
 10/27  01:00:00,22.39382224
 10/27  02:00:00,22.30711074
 10/27  03:00:00,22.17924496
 10/27  04:00:00,22.07181317
 10/27  05:00:00,21.99031894
 10/27  06:00:00,21.91079259
 10/27  07:00:00,21.83974958
 10/27  08:00:00,22.00600832
 10/27  09:00:00,21.32397615
 10/27  10:00:00,21.60835144
 10/27  11:00:00,21.94727037
 10/27  12:00:00,22.4729389
 10/27  13:00:00,22.70365025
 10/27  14:00:00,22.85956174
 10/27  15:00:00,22.84746943
 10/27  16:00:00,22.77549672
 10/27  17:00:00,22.67747212
 10/27  18:00:00,22.53398924
 10/27  19:00:00,22.41139851
 10/27  20:00:00,22.29738507
 10/27  21:00:00,22.14732369
 10/27  22:00:00,22.91375215
 10/27  23:00:00,22.93453326
 10/27  24:00:00,22.79366549
 10/28  01:00:00,22.51594933
 10/28  02:00:00,22.25356695
 10/28  03:00:00,22.11502091
 10/28  04:00:00,21.98470361
 10/28  05:00:00,21.8693451
 10/28  06:00:00,21.76696066
 10/28  07:00:00,21.6771141
 10/28  08:00:00,21.77685574
 10/28  09:00:00,21.22108668
 10/28  10:00:00,21.51183303
 10/28  11:00:00,22.00057065
 10/28  12:00:00,22.38329988
 10/28  13:00:00,22.78006242
 10/28  14:00:00,23.09419911
 10/28  15:00:00,23.1718802
 10/28  16:00:00,23.06643445
 10/28  17:00:00,22.83407884
 10/28  18:00:00,22.6308545
 10/28  19:00:00,22.47584892
 10/28  20:00:00,22.33790078
 10/28  21:00:00,22.14462221
 10/28  22:00:00,22.85549099
 10/28  23:00:00,22.82171413
 10/28  24:00:00,22.63076194
 10/29  01:00:00,22.58160492
 10/29  02:00:00,22.57228353
 10/29  03:00:00,22.43451838
 10/29  04:00:00,22.3077521
 10/29  05:00:00,22.2032845
 10/29  06:00:00,22.1232585
 10/29  07:00:00,22.04755701
 10/29  08:00:00,22.83462188
 10/29  09:00:00,22.10500618
 10/29  10:00:00,21.96411971
 10/29  11:00:00,22.23061797
 10/29  12:00:00,22.63942105
 10/29  13:00:00,22.94405596
 10/29  14:00:00,23.23797857
 10/29  15:00:00,23.24961539
 10/29  16:00:00,23.16567452
 10/29  17:00:00,23.00254978
 10/29  18:00:00,22.84047566
 10/29  19:00:00,22.71666961
 10/29  20:00:00,22.60972629
 10/29  21:00:00,22.45947939
 10/29  22:00:00,23.21247673
 10/29  23:00:00,23.23653535
 10/29  24:00:00,23.10049941
 10/30  01:00:00,23.05189791
 10/30  02:00:00,23.03425109
 10/30  03:00:00,22.92601132
 10/30  04:00:00,22.8359994
 10/30  05:00:00,22.75068772
 10/30  06:00:00,22.68443982
 10/30  07:00:00,22.60328035
 10/30  08:00:00,22.66253053
 10/30  09:00:00,22.02494641
 10/30  10:00:00,22.21480313
 10/30  11:00:00,22.64585884
 10/30  12:00:00,22.90789055
 10/30  13:00:00,23.13714846
 10/30  14:00:00,23.50714508
 10/30  15:00:00,23.5471551
 10/30  16:00:00,23.48437853
 10/30  17:00:00,23.33317352
 10/30  18:00:00,23.1178773
 10/30  19:00:00,22.99012452
 10/30  20:00:00,22.91295427
 10/30  21:00:00,22.78478316
 10/30  22:00:00,23.56953861
 10/30  23:00:00,23.62535728
 10/30  24:00:00,23.50424485
 10/31  01:00:00,23.38120775
 10/31  02:00:00,23.27848973
 10/31  03:00:00,23.13519756
 10/31  04:00:00,23.01903485
 10/31  05:00:00,22.95360491
 10/31  06:00:00,22.89020356
 10/31  07:00:00,22.82853176
 10/31  08:00:00,23.01835915
 10/31  09:00:00,22.62029644
 10/31  10:00:00,22.64013868
 10/31  11:00:00,22.89135546
 10/31  12:00:00,23.32397668
 10/31  13:00:00,23.59890345
 10/31  14:00:00,23.90551385
 10/31  15:00:00,23.98677598
 10/31  16:00:00,23.91472965
 10/31  17:00:00,23.72646985
 10/31  18:00:00,23.53080648
 10/31  19:00:00,23.40125718
 10/31  20:00:00,23.30377934
 10/31  21:00:00,23.17649988
 10/31  22:00:00,23.9319921
 10/31  23:00:00,23.97491233
 10/31  24:00:00,23.86508587
 11/01  01:00:00,23.62213403
 11/01  02:00:00,23.38412668
 11/01  03:00:00,23.2819884
 11/01  04:00:00,23.18031887
 11/01  05:00:00,23.09026602
 11/01  06:00:00,23.02328573
 11/01  07:00:00,22.93831331
 11/01  08:00:00,22.9210222
 11/01  09:00:00,22.22194982
 11/01  10:00:00,22.21885021
 11/01  11:00:00,22.33633136
 11/01  12:00:00,22.49380338
 11/01  13:00:00,22.63107379
 11/01  14:00:00,22.64510769
 11/01  15:00:00,22.62303262
